Grid	Lat/Long hddd.ddddd°
Datum	South American '69

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track actual: 07 JUN 2018 14:52	07-06-2018 14:52:45 (UTC-4)	2:27:03	7.5 km	3 kph	

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	S34.98674 W71.25336	07-06-2018 15:07:00 (UTC-4)	203 m			0 m	0:00:06	0.1 kph	222° true
Trackpoint	S34.98674 W71.25336	07-06-2018 15:07:06 (UTC-4)	203 m			1 m	0:00:06	0.4 kph	72° true
Trackpoint	S34.98673 W71.25335	07-06-2018 15:07:12 (UTC-4)	204 m			1 m	0:00:06	0.5 kph	27° true
Trackpoint	S34.98673 W71.25335	07-06-2018 15:07:18 (UTC-4)	204 m			0 m	0:00:06	0.1 kph	104° true
Trackpoint	S34.98674 W71.25333	07-06-2018 15:07:24 (UTC-4)	204 m			2 m	0:00:06	1.4 kph	119° true
Trackpoint	S34.98676 W71.25326	07-06-2018 15:07:30 (UTC-4)	205 m			6 m	0:00:06	4 kph	103° true
Trackpoint	S34.98676 W71.25325	07-06-2018 15:07:36 (UTC-4)	205 m			1 m	0:00:06	0.6 kph	92° true
Trackpoint	S34.98676 W71.25325	07-06-2018 15:07:42 (UTC-4)	205 m			0 m	0:00:06	0.2 kph	110° true
Trackpoint	S34.98676 W71.25324	07-06-2018 15:07:48 (UTC-4)	205 m			0 m	0:00:06	0.2 kph	82° true
Trackpoint	S34.98676 W71.25324	07-06-2018 15:07:54 (UTC-4)	206 m			0 m	0:00:06	0.1 kph	112° true
Trackpoint	S34.98676 W71.25324	07-06-2018 15:08:00 (UTC-4)	206 m			0 m	0:00:06	0.1 kph	157° true
Trackpoint	S34.98676 W71.25324	07-06-2018 15:08:06 (UTC-4)	206 m			0 m	0:00:06	0.1 kph	87° true
Trackpoint	S34.98676 W71.25324	07-06-2018 15:08:12 (UTC-4)	206 m			0 m	0:00:06	0.2 kph	43° true
