Grid	Lat/Long hddd.ddddd°
Datum	South American '69

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track actual: 08 JUL 2018 18:01	08-07-2018 18:01:34 (UTC-4)	13:50:30	1.2 km	0.1 kph	

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	S34.97726 W71.25653	08-07-2018 18:16:10 (UTC-4)	198 m			0 m	0:00:06	0.1 kph	71° true
Trackpoint	S34.97725 W71.25653	08-07-2018 18:16:16 (UTC-4)	198 m			0 m	0:00:06	0.1 kph	22° true
Trackpoint	S34.97725 W71.25653	08-07-2018 18:16:22 (UTC-4)	198 m			0 m	0:00:06	0.1 kph	334° true
Trackpoint	S34.97725 W71.25653	08-07-2018 18:16:28 (UTC-4)	198 m			0 m	0:00:06	0.1 kph	354° true
Trackpoint	S34.97725 W71.25653	08-07-2018 18:16:34 (UTC-4)	198 m			0 m	0:00:06	0.1 kph	347° true
Trackpoint	S34.97725 W71.25653	08-07-2018 18:16:40 (UTC-4)	198 m			0 m	0:00:06	0.1 kph	342° true
Trackpoint	S34.97725 W71.25653	08-07-2018 18:16:46 (UTC-4)	198 m			0 m	0:00:06	0.1 kph	4° true
Trackpoint	S34.97725 W71.25653	08-07-2018 18:16:52 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	18° true
Trackpoint	S34.97725 W71.25653	08-07-2018 18:16:58 (UTC-4)	199 m			0 m	0:00:06	0.1 kph	22° true
Trackpoint	S34.97724 W71.25653	08-07-2018 18:17:04 (UTC-4)	198 m			0 m	0:00:06	0.1 kph	351° true
Trackpoint	S34.97724 W71.25653	08-07-2018 18:17:10 (UTC-4)	198 m			0 m	0:00:06	0.1 kph	32° true
Trackpoint	S34.97724 W71.25653	08-07-2018 18:17:16 (UTC-4)	198 m			0 m	0:00:06	0.1 kph	151° true
Trackpoint	S34.97724 W71.25653	08-07-2018 18:17:22 (UTC-4)	198 m			0 m	0:00:06	0.0 kph	168° true
